Object_ID,Geographic_Identifier_-_FIPS_Code,Area_of_Land_(Square_Meters),Area_of_Water_(Square_Meters),Name,State,County,Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range),Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range)_-_Margin_of_Error,"Median_Household_Income_in_past_12_months,_Householder_under_25_years","Median_Household_Income_in_past_12_months,_Householder_under_25_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Two_or_More_Races_Householder","Median_Household_Income_in_past_12_months,_Two_or_More_Races_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_White_alone,_not_Hispanic_Householder","Median_Household_Income_in_past_12_months,_White_alone,_not_Hispanic_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder_-_Margin_of_Error",Total_Households,Total_Households_-_Margin_of_Error,Households_with_any_self-employment_income_in_past_12_months,Households_with_any_self-employment_income_in_past_12_months_-_Margin_of_Error,Households_with_no_self-employment_income_in_past_12_months,Households_with_no_self-employment_income_in_past_12_months_-_Margin_of_Error,Percent_of_households_with_any_self-employment_income,Percent_of_households_with_any_self-employment_income_-_Margin_of_Error,Shape_Area,Shape_Length
2915,12001002217,1739103,8317,Census Tract 22.17,Florida,Alachua County,45410,9186,28365,13447,46633,6264,48027,7762,0,0,45879,3912,0,0,0,0,0,0,49991,24738,0,0,48714,11365,35477,29204,2375,479,204,180,2171,477,8.6,7.378303858,2321593.793,8220.363254
2916,12001002218,1645357,0,Census Tract 22.18,Florida,Alachua County,41635,5450,0,0,54688,15558,36542,15410,25313,8373,35049,17489,0,0,131000,41427,0,0,0,0,0,0,42813,16515,0,0,1014,145,79,56,935,154,7.8,5.409143288,2185531.174,6378.79145
2917,12001002219,8317003,1419303,Census Tract 22.19,Florida,Alachua County,55068,12782,0,0,84375,29201,47614,38405,38750,9554,29233,10019,0,0,131426,18903,0,0,93220,33669,0,0,57689,11405,51333,42001,2613,319,300,175,2313,308,11.5,6.548971895,12928066.99,14745.59081
2918,12001002220,19264834,3006123,Census Tract 22.20,Florida,Alachua County,68214,18593,0,0,95096,52963,66731,31631,54750,19584,48750,16093,0,0,186667,70242,0,0,0,0,0,0,69583,23387,0,0,902,129,127,95,775,142,14.1,10.33786639,29553705.26,24641.46277
2919,12001110800,6761866,34116,Census Tract 1108,Florida,Alachua County,99063,20143,0,0,134500,24289,133500,29815,86944,16670,0,0,0,0,249432,63605,0,0,0,0,250001,0,91042,23143,106450,66600,883,122,103,51,780,119,11.7,5.546348379,9021421.49,13962.83238
77797,12001000201,1238506,0,Census Tract 2.01,Florida,Alachua County,17727,14320,18614,15483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499,0,0,0,24113,20154,0,0,1960,365,211,129,1749,380,10.8,6.268876385,1645611.557,5609.210989
77798,12001000202,857504,0,Census Tract 2.02,Florida,Alachua County,13045,4955,11863,4205,0,0,22727,17640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13306,5544,15167,7628,1690,404,65,51,1625,391,3.8,2.87427594,1139187.055,4920.102245
77799,12001001522,4466868,12648,Census Tract 15.22,Florida,Alachua County,32944,4779,13871,10376,41419,16657,44060,5045,37625,20893,52775,14438,0,0,44398,36334,0,0,0,0,55648,30454,28446,4450,29909,14539,3486,365,134,100,3352,358,3.8,2.84024229,5949283.008,10482.79227
77800,12001001605,7946622,150344,Census Tract 16.05,Florida,Alachua County,40877,11552,19955,6757,83306,29558,62569,56534,0,0,0,0,0,0,39697,4897,0,0,0,0,0,0,57222,18521,29167,26359,3886,401,141,118,3745,427,3.6,3.013369255,10757551.85,15719.0511
77801,12001001815,121258817,1656460,Census Tract 18.15,Florida,Alachua County,65951,16478,0,0,0,0,0,0,65741,21026,0,0,0,0,0,0,0,0,0,0,0,0,65679,25620,0,0,715,115,56,38,659,123,7.8,5.163234188,164084960.2,74242.26693
77802,12001001816,125387124,1003858,Census Tract 18.16,Florida,Alachua County,63906,11072,0,0,65938,21412,98250,33511,47957,13840,56761,26194,0,0,0,0,0,0,182831,61167,0,0,73000,12043,0,0,1831,246,320,177,1511,243,17.5,9.37734496,168577874.2,94934.20576
77803,12001001817,49842259,1288969,Census Tract 18.17,Florida,Alachua County,95273,9508,0,0,97143,17796,105980,25897,85058,20573,67028,20987,0,0,0,0,0,0,0,0,96094,16972,106539,13537,96250,306,1860,231,167,97,1693,245,9,5.094448173,68067385.38,53062.72743
77804,12001001818,101744175,187670,Census Tract 18.18,Florida,Alachua County,87685,7066,0,0,89400,32235,90313,12288,69448,18506,25957,9136,0,0,0,0,0,0,0,0,130949,54446,88750,5792,131060,26653,1730,228,255,112,1475,242,14.7,6.175665255,135770419.3,48895.93304
77805,12001001819,57112104,74430,Census Tract 18.19,Florida,Alachua County,69733,8489,0,0,57432,22581,86125,35734,69762,9382,55421,45147,0,0,0,0,0,0,0,0,63945,31410,77072,14215,71950,61824,2004,297,213,108,1791,325,10.6,5.153872116,76148723.91,39343.07466
77806,12001002001,143486282,60788181,Census Tract 20.01,Florida,Alachua County,48190,29161,0,0,34485,28534,52944,37438,48409,31538,0,0,0,0,0,0,0,0,0,0,0,0,52500,28786,0,0,608,122,25,30,583,122,4.1,4.864739161,230093417.4,211369.3179
77807,12001002002,176430836,24711710,Census Tract 20.02,Florida,Alachua County,40616,9565,0,0,53409,18185,39732,24467,34955,10743,43625,15986,0,0,0,0,0,0,0,0,125769,51102,38268,5516,0,0,1649,215,230,113,1419,222,13.9,6.606930219,257859938.1,75814.13034
77808,12001002221,6103371,0,Census Tract 22.21,Florida,Alachua County,88457,25455,0,0,84967,46502,111181,41931,74048,31436,0,0,0,0,110281,47212,0,0,0,0,0,0,84555,21574,0,0,2190,333,368,173,1822,373,16.8,7.474916203,8102737.854,13960.03818
77809,12001002222,18937739,1319,Census Tract 22.22,Florida,Alachua County,154662,21976,0,0,162456,28706,154740,61172,116979,45651,0,0,0,0,228672,81563,0,0,0,0,0,0,143143,30310,201300,155707,2794,293,328,212,2466,293,11.7,7.4871512,25139944,22105.285
